Test spreadsheet,,,,
,,,,
1,,1,,2
2,,3,,5
3,,5,,8
4,,7,,11
5,,9,,14
6,,11,,17
7,,13,,20
8,,15,,23
9,,17,,26
10,,19,,29
11,,21,,32
12,,23,,35
13,,25,,38
14,,27,,41
15,,29,,44
16,,31,,47
17,,33,,50
18,,35,,53
19,,37,,56
20,,39,,59
21,,41,,62
22,,43,,65
23,,45,,68
24,,47,,71
25,,49,,74
26,,51,,77
27,,53,,80
28,,55,,83
29,,57,,86
30,,59,,89
31,,61,,92
32,,63,,95
33,,65,,98
34,,67,,101
35,,69,,104
36,,71,,107
37,,73,,110
38,,75,,113
39,,77,,116
40,,79,,119
41,,81,,122
42,,83,,125
43,,85,,128
44,,87,,131
45,,89,,134
46,,91,,137
47,,93,,140
48,,95,,143
49,,97,,146
